"Ph","EC","P","K","Crop_Type","Urea","TSP","MOP","Compost","",""
"5.8","0.031","42.1","34.4","Tomato","19.5","29.67","21.67","1083.33","",""
"5.6","0.043","39.5","44.2","Tomato","19.5","29.67","21.67","1083.33","",""
"5.5","0.033","6.3","78.5","Tomato","19.5","127.17","21.67","1083.33","",""
"5.4","0.087","58.7","436.8","Tomato","26","32.5","0","0","",""
"6.5","0.014","3.6","88.3","Tomato","19.5","127.17","21.67","1083.33","",""
"6.1","0.079","8","344.1","Tomato","19.5","127.17","8.67","1083.33","",""
"5.9","0.057","37.3","245.4","Tomato","19.5","29.67","8.67","1083.33","",""
"6.5","0.055","11.3","115.6","Tomato","19.5","127.17","21.67","1083.33","",""
"6.5","0.137","139.9","341.8","Tomato","19.5","29.67","8.67","1083.33","",""
"6.2","0.206","165.2","578.1","Tomato","26","32.5","0","0","",""
"6.3","0.09","0.1","375.8","Tomato","19.5","127.17","8.67","1083.33","",""
"5.4","0.052","1","97.7","Tomato","19.5","127.17","21.67","1083.33","",""
"6.8","0.034","13.4","223.5","Tomato","19.5","127.17","8.67","1083.33","",""
"6","0.036","2.2","93.1","Tomato","19.5","127.17","21.67","1083.33","",""
"5.9","0.065","1.2","63.7","Tomato","19.5","127.17","21.67","1083.33","",""
"5.8","0.042","1.9","39.2","Tomato","19.5","127.17","21.67","1083.33","",""
"6.1","0.088","23.5","122","Tomato","19.5","62.17","21.67","1083.33","",""
"6.2","0.02","7.6","34.2","Tomato","19.5","127.17","21.67","1083.33","",""
"6.5","0.034","1.3","97.6","Tomato","19.5","127.17","21.67","1083.33","",""
"6.6","0.019","1.2","48.8","Tomato","19.5","127.17","21.67","1083.33","",""
"6.5","0.097","1.4","107.3","Tomato","19.5","127.17","21.67","1083.33","",""
"6.1","0.037","2.7","200.1","Tomato","19.5","127.17","8.67","1083.33","",""
"5.2","0.054","17.3","253.7","Tomato","19.5","127.17","8.67","1083.33","",""
"4.8","0.038","11.9","63.7","Tomato","19.5","127.17","21.67","1083.33","",""
"6.5","0.026","32.9","122","Tomato","19.5","29.67","21.67","1083.33","",""
"6.4","0.083","37.7","395.2","Tomato","19.5","29.67","8.67","1083.33","",""
"5.5","2.022","19.2","2256.8","Tomato","26","65","0","0","",""
"6.1","0.031","7.9","292.8","Tomato","19.5","127.17","8.67","1083.33","",""
"6.1","0.047","27.7","502.6","Tomato","26","65","0","0","",""
"5.7","0.025","3.9","102.5","Tomato","19.5","127.17","21.67","1083.33","",""
"5.6","0.029","5.1","126.9","Tomato","19.5","127.17","21.67","1083.33","",""
"5.8","0.028","8.7","253.7","Tomato","19.5","127.17","8.67","1083.33","",""
"5.3","0.0005","4.4","93.6","Tomato","19.5","127.17","21.67","1083.33","",""
"5.9","0.022","7","122","Tomato","19.5","127.17","21.67","1083.33","",""
"5.7","0.028","6.8","195.2","Tomato","19.5","127.17","8.67","1083.33","",""
"5.7","0.03","9.1","258.6","Tomato","19.5","127.17","8.67","1083.33","",""
"5.9","0.022","9","200.1","Tomato","19.5","127.17","8.67","1083.33","",""
"5.8","0.03","6.7","161","Tomato","19.5","127.17","8.67","1083.33","",""
"5.9","0.019","6.2","126.9","Tomato","19.5","127.17","21.67","1083.33","",""
"5.6","1.32","115.1","78.8","Tomato","19.5","29.67","21.67","1083.33","",""
"5.3","0.401","6","29.5","Tomato","19.5","127.17","21.67","1083.33","",""
"7.2","0.06","18","29.5","Tomato","19.5","127.17","21.67","1083.33","",""
"6.6","0.029","33.1","232.7","Tomato","19.5","29.67","8.67","1083.33","",""
"5.7","0.009","5.6","162.5","Tomato","19.5","127.17","8.67","1083.33","",""
"6.2","0.005","6.5","83.7","Tomato","19.5","127.17","21.67","1083.33","",""
"6.2","0.0008","3.1","83.7","Tomato","19.5","127.17","21.67","1083.33","",""
"6.5","0.0007","3.4","24.6","Tomato","19.5","127.17","21.67","1083.33","",""
"6.1","0.009","2.4","221.6","Tomato","19.5","127.17","8.67","1083.33","",""
"6.1","0.004","15.3","78.8","Tomato","19.5","127.17","21.67","1083.33","",""
